ID,Age
PD00209,59
PD00119,66
PD00820,69
PD00262,71
PD00523,84
PD00416,71
PD01199,68
PD01224,59
PD01160,61
PD00869,58
PD00760,61
PD00119,66
PD00119,67
PD00457,65
PD00509,77
PD00458,66
PD00849,62
PD00596,#ERROR!
PD00769,59
PD00396,80
PD00955,59
PD01342,50
PD01223,64
PD01238,74
PD01241,58
PD00622,65
PD01145,78
PD01185,51
PD01237,59
PD01247,69
PD01299,62
PD01253,53
PD00439,65
PD00999,60
PD00215,48
PD00993,65
PD01165 ,56
PD00020,74
PD01230,63
PD01290,82
PD00786,53
PD00576,66
PD01270,70
PD00186,66
PD01306,68
PD01245,70
PD01315 ,66
PD01398,61
PD01284,62
PD01134,62
PD00647,72
PD00792,66
PD00208,57
PD00196,78
PD01201,71
PD01161,65
PD01268,63
PD00834,72
PD00979,65
PD01333,69
PD00256,70
PD00697,75
PD01133,63
PD00289,68
PD00146,64
PD00471,69
PD01056,78
PD00620,48
PD00782,65
PD01312,57
PD01319,66
PD01225,56
PD01156,82
PD01349,58
PD01249,62
PD01126,74
PD00101,57
PD00846,64
PD00864,65
PD00060,77
PD00048,75
PD01146,68
PD00758,57
PD01353,63
PD00542,64
PD00666,56
PD00106,60
PD01311,69
PD00472,73
PD01282,72
PD01360,70
PD00287,76
PD00954,58
PD01291,72
PD00296,60
PD01277,65
PD01003,65
PD01022,55
PD01277,65
PD01269,59
PD01088,71
PD01376,75
PD01377,64
PD01295,74
PD00267,80
PD01090,58
PD00194,75
PD01254,69
PD00842,60
PD00629,66
PD01365,76
PD01385,68
PD00512,63
PD01294,78
PD00890,54
PD00548,73
PD00583,77
PD00707,67
PD01369,50
PD00956,75
PD01065,65
PD01458,34
PD00539,61
PD00219,74
PD00299,62
PD01622,69
PD00653,77
PD00660,57
PD01457,72
PD00757,79
PD00935,63
PD01387,70
PD00668,79
PD01435,55
PD01078,71
PD01483,54
PD01565,52
PD01667,58
PD01440,56
PD01559,55
PD01494,40
PD01412,32
PD01359,46
PD01660,65
PD01568,66
PD01623,61
PD01644,76
PD01487,48
PD01187,52
PD01733,65
PD01558,59
PD01731,56
PD01551,55
PD01133,65
PD01517,69
PD01720,64
PD01699,43
PD01646,63
PD00980,78
PD01753,71
PD01669,58
PD01216,58
PD01713,70
PD01626,73
PD01674,54
PD00953,56
PD01469,66
PD00168,62
PD01058,77
PD00406,64
PD01696,76
PD01698,71
PD01534,64
PD01500,49
MNI0056,79
MNI0059,63
PD01525,83
UDM0045,66
MNI0119,71
PD01691,72
PD01260,71
MNI0110,74
MNI0068,69
MNI0058,57
PD01718,72
PD01672,50
PD01386,67
PD00649,88
PD00945,65
PD01693,64
PD01654,73
PD01657,59
PD01642,65
PD01340,67
MNI0109,45
PD01591,65
PD01656,63
PD01578,68
MNI0103,82
PD00339,72
PD01756,75
PD01485,60
PD01737,69
PD01670,71
PD01639,64
PD01601,50
PD01602,50
PD01502,65
PD01377,66
PD01161,67
PD01241,60
PD00995,59
PD01482,63
MNI0168,57
MNI0178,63
PD01552,70
PD01214,51
PD01659,53
PD01440,57
PD01142,59
PD01217,63
PD00765,73
PD00513,57
PD01563,55
PD00826,65
PD00038,37
PD01022,57
MNI0079,50
MNI0225,59
PD01744,76
PD00834,74
PD00955,62
MNI0242,82
PD01702,57
MNI0265,59
PD01710,59
PD01002,70
MNI0266,74
MNI0148,80
MNI0268,66
MNI0264,72
PD00596,63
UDM0052,65
MNI0285,63
PD00197,68
MNI0263,69
PD01622,70
PD00215,50
MNI0253,66
MNI0287,58
MNI0222,59
PD01199,51
PD01684,74
MNI0262,39
MNI0267,70
PD01277,68
PD01709,70
MNI0259,51
MNI0251,69
MNI0300,61
PD01105,72
MNI0280,66
PD01714,80
MNI0243,67
MNI0281,67
PD01715,69
PD01333,72
PD00842,62
PD01660,66
PD01282,75
PD01187,54
MNI0295,67
MNI0252,72
PD01646,64
PD01133,66
PD01674,55
PD00953,57
PD01299,65
PD01340,68
PD01706,65
PD00130,55
MNI0110,74
PD01678,76
PD01696,77
PD00649,89
MNI0336,66
PD01752,72
MNI0355,83
MNI0341,67
PD01656,64
PD01489,62
PD01657,60
PD01693,65
MNI0365,65
MNI0364,56
PD01033,78
MNI0245,70
PD01756,77
PD00849,66
MNI0255,67
PD00020,77
MNI0376,49
MNI0365,45
MNI0368,70
MNI0384,58
PD01701,50
MNI0399,56
MNI0339,64
MNI0372,69
MNI0380,63
PD01578,70
