cluster_switches,switch_rate,avg_cluster_size,exploitation_score,exploration_score,transition_entropy,network_density
3,0.23076923076923078,3.5,0.75,0.25,2.622556248918266,0.14285714285714285
1,0.3333333333333333,2.0,0.75,0.25,1.0,0.14285714285714285
4,0.2,4.75,0.8,0.19999999999999996,2.8877123795494493,0.14285714285714285
2,0.16666666666666666,4.333333333333333,0.85,0.15000000000000002,1.533206219346495,0.14285714285714285
2,0.18181818181818182,4.0,0.8055555555555555,0.19444444444444453,1.7295739585136225,0.14285714285714285
2,0.16666666666666666,4.0,0.85,0.15000000000000002,1.533206219346495,0.14285714285714285
5,0.22727272727272727,4.4,0.7666666666666666,0.2333333333333334,3.792481250360578,0.14285714285714285
3,0.15789473684210525,4.75,0.8166666666666667,0.18333333333333335,2.362152023829214,0.14285714285714285
3,0.21428571428571427,4.666666666666667,0.7833333333333333,0.21666666666666667,2.2551343142338576,0.14285714285714285
2,0.4,2.0,0.6666666666666666,0.33333333333333337,2.0,0.14285714285714285
3,0.21428571428571427,3.75,0.7625,0.23750000000000004,2.533206219346495,0.14285714285714285
3,0.1875,5.333333333333333,0.8111111111111112,0.18888888888888877,2.0938786114230785,0.14285714285714285
2,0.16666666666666666,4.333333333333333,0.85,0.15000000000000002,1.533206219346495,0.14285714285714285
4,0.21052631578947367,4.75,0.7708333333333334,0.22916666666666663,3.029618801810331,0.14285714285714285
2,0.2,3.6666666666666665,0.8055555555555555,0.19444444444444453,1.7295739585136225,0.14285714285714285
1,0.14285714285714285,4.0,0.875,0.125,0.8112781244591328,0.14285714285714285
2,0.25,3.0,0.75,0.25,1.811278124459133,0.14285714285714285
4,0.14285714285714285,5.6,0.8480952380952381,0.15190476190476188,2.774901419577177,0.14285714285714285
2,0.4,2.0,0.6666666666666666,0.33333333333333337,2.0,0.14285714285714285
2,0.4,2.0,0.6666666666666666,0.33333333333333337,2.0,0.14285714285714285
1,0.3333333333333333,2.0,0.75,0.25,1.0,0.14285714285714285
1,0.25,2.5,0.75,0.25,1.0,0.14285714285714285
2,0.2222222222222222,3.3333333333333335,0.75,0.25,1.811278124459133,0.14285714285714285
0,0.0,3.0,1.0,0.0,0.0,0.14285714285714285
3,0.2,4.0,0.8041666666666667,0.1958333333333333,2.4515020534009846,0.14285714285714285
1,0.16666666666666666,3.5,0.8333333333333333,0.16666666666666674,0.9182958340544896,0.14285714285714285
2,0.2222222222222222,3.3333333333333335,0.75,0.25,1.811278124459133,0.14285714285714285
4,0.16,5.2,0.8380952380952381,0.16190476190476188,2.8642514491489472,0.14285714285714285
0,0.0,2.0,1.0,0.0,0.0,0.14285714285714285
3,0.3,2.75,0.7083333333333333,0.29166666666666674,2.836591668108979,0.14285714285714285
4,0.25,3.75,0.7708333333333333,0.22916666666666674,2.981203125901445,0.14285714285714285
4,0.2222222222222222,4.5,0.7625,0.23750000000000004,3.0332062193464955,0.14285714285714285
3,0.16666666666666666,4.75,0.825,0.17500000000000004,2.344484343805628,0.14285714285714285
4,0.18181818181818182,4.6,0.8,0.19999999999999996,3.1908745046211093,0.14285714285714285
2,0.14285714285714285,5.0,0.85,0.15000000000000002,1.533206219346495,0.14285714285714285
2,0.11764705882352941,5.0,0.9047619047619048,0.09523809523809523,1.183345557164655,0.14285714285714285
2,0.15384615384615385,4.333333333333333,0.8611111111111112,0.13888888888888884,1.4613005461074868,0.14285714285714285
1,0.3333333333333333,2.0,0.75,0.25,1.0,0.14285714285714285
3,0.16666666666666666,4.75,0.8333333333333334,0.16666666666666663,2.2725786705666198,0.14285714285714285
0,0.0,3.0,1.0,0.0,0.0,0.14285714285714285
0,0.0,1.0,1.0,0.0,0.0,0.14285714285714285
